userWallet,total_borrow_usd,total_deposit_usd,total_redeem_usd,total_repay_usd,repay_ratio,deposit,borrow,repay,redeemunderlying,action_types_used,tx_count,repay_delay_days,days_active,unique_assets,asset_mismatch,credit_score,score_class
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,505.6751402199634,994.0621402142455,1335.6428532248508,543.4854055313201,1.0747718491656713,2,3,1,4,4,10,72.0,82,2,False,1000,Prime (AAA)
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,518.3127324254524,2741.7593619490026,0.0,0.0,0.0,1,1,0,0,2,2,-1.0,0,2,True,430,Weak
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,22.653259187424077,35.39571748035012,35.39570332206313,22.653259187424077,1.0,2,1,1,2,4,6,0.0,0,1,False,1000,Prime (AAA)
0x0005696d4be2359526c497fe4a4c0620b41f2426,593.7611376147482,735.6873206985615,1339.3883335614528,592.9530021211905,0.9986389552256583,1,1,1,4,4,7,0.0,0,4,False,1000,Prime (AAA)
0x000660cad76200a2e326f53e033919905e6c50f5,0.0,1.06485257555633,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,0.0,1.1536765310394421,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00080000158a9930aeb508823103b0a977161c47,0.0,2.6175135989121427,0.0,0.0,0.0,2,0,0,0,1,2,0.0,9,1,0,780,Moderate
0x00099b1263c22ae2ce0a52624cef2a012e751970,0.0,1.0581473433072288,0.0,0.0,0.0,2,0,0,0,1,2,0.0,7,1,0,780,Moderate
0x0009ce45d5df78e632a0b4987079432dfba2253a,0.0,0.032446847156000054,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000a27ba176083e4b50177378cbe7469a00dd557,160.3863100380374,277.8849972393591,276.87438607237016,160.22581757470164,0.9989993381399092,4,2,2,4,4,12,3.0,33,2,False,1000,Prime (AAA)
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,13419.050139675852,25174.456833642937,46364.73877723404,13381.494379508398,0.9972013100944892,18,8,5,12,4,43,0.0,25,5,True,1000,Prime (AAA)
0x000ab43e658935ba39504a1424b01756c1e9644c,0.011365237938343969,0.1136523793834397,0.0,0.0,0.0,1,1,0,0,2,2,-1.0,0,1,True,430,Weak
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,0.0,2773.0219923963728,2360.291421041782,0.0,0.0,49,0,0,28,2,77,0.0,123,8,0,830,Strong
0x000c8e2871750f458bf1de8ab528dda09bc95db6,2366.767191230522,5480.588573862458,5480.588573862458,2366.767191230522,1.0,1,1,1,1,4,4,0.0,0,2,False,1000,Prime (AAA)
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,963.8765146793129,961.8287895593896,920.0072393732885,933.0977900335208,0.9680677719842232,20,20,17,14,4,71,19.0,66,4,False,1000,Prime (AAA)
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,40.10267633402084,282.1056376025053,0.0,40.31433339845019,1.0052778787796213,4,1,1,0,3,6,30.0,30,2,False,1000,Prime (AAA)
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.0,0.0012181088062153706,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.0,0.13920558505203293,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,886.7244790708098,760.4061861653315,502.2313169970222,503.6501564107848,0.5679894581669326,1,3,2,2,4,8,2.0,80,3,False,950,Prime (AAA)
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,0.0,7134.806489127495,3448.760361803882,0.0,0.0,6,0,0,2,2,8,0.0,20,2,0,800,Strong
0x000e840a3122ec28d0c29321db172375cb049762,216.8257036891647,967.8323802710293,267.2482136741055,217.3913973215126,1.0026089786530055,5,2,2,1,4,10,0.0,26,2,False,1000,Prime (AAA)
0x000e9bd1d42999446d60ff60f1fb3afb13604202,34.630956155900854,82.45110016915315,57.06277350892236,35.37800801727156,1.021571794264289,8,6,4,4,4,22,0.0,1,3,False,1000,Prime (AAA)
0x000eab293e332bd6e67018a9150e8807bfac3233,0.0,1.097254760600487,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,0.0,102.37738923188869,82.48886148682799,0.0,0.0,1,0,0,1,2,2,0.0,15,2,0,800,Strong
0x000f4432a40560bbff1b581a8b7aded8dab80026,17603.97911970302,31488.764002887656,46609.57735566829,17566.377247476397,0.9978640129046428,7,6,3,9,4,25,9.0,18,4,False,1000,Prime (AAA)
0x000f7f22bfc28d940d4b68e13213ab17cf107790,47039763.54765072,57565565.509212136,57340991.924111076,46907451.027526215,0.9971872197021043,26,19,13,15,4,73,0.0,2,5,False,1000,Prime (AAA)
0x000f908720f9ce164d90f4fc89459fab4442907f,1355.013715474462,1663.4251937312324,1659.9410871656469,1351.0568899319198,0.9970798631059193,32,30,17,17,4,96,0.0,1,2,False,1000,Prime (AAA)
0x000fbfec300959d0f2f327728a889c1f5de8e2df,140.01063060029028,607.3427750185859,350.14550700363304,139.70001148776586,0.9977814605134435,3,1,1,3,4,8,3.0,8,2,False,1000,Prime (AAA)
0x0011730224657eb527cf736039854c3a3f140e63,738.0253561825903,1507.324205025002,1520.678661300002,738.0253561825903,1.0,1,1,1,1,4,4,0.0,0,2,False,1000,Prime (AAA)
0x00120ea6fdbaf057eadc1bd149f957488444e92c,2.602967788219515,261.125891711734,0.0,2.6163774015531507,1.005151663187814,2,1,1,0,3,4,0.0,0,2,False,1000,Prime (AAA)
0x0012668072f7e0579caf7e047713d8b6d476d0db,0.0,2.2961814875215225,0.0,0.0,0.0,2,0,0,0,1,2,0.0,2,1,0,760,Moderate
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,14463.747529345676,24971.86281241228,6219.04414164419,4303.809157276695,0.29755837126890133,101,24,93,11,4,229,0.0,62,6,True,800,Strong
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0,9.901298877476563,0.0,0.0,0,0,0,1,1,1,0.0,0,1,0,760,Moderate
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.0,0.20424043145808832,0.0,0.0,0.0,1,0,0,0,1,1,0.0,0,1,0,760,Moderate
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,0.0,2.4353377818598245,0.0,0.0,0.0,2,0,0,0,1,2,0.0,6,1,0,760,Moderate
0x0014dfac19477a83d7354e6eaac28642c1959398,18149.00162791084,86721.51626282626,82835.8750569956,18188.824774686098,1.0021942334675873,10,6,9,11,4,36,0.0,30,3,False,1000,Prime (AAA)
0x001589fe1923c2118f34e4277f2ef650fcbf0161,1419.946916528213,18831.760523933794,17284.53823640685,0.0,0.0,19,2,0,9,3,30,-1.0,132,5,True,480,Weak
0x00159370cbe576b765a7fb2e78582e0cb563d445,2945.931847397388,3052.590439912865,1090.721667688074,0.0,0.0,10,7,0,2,3,19,-1.0,20,5,True,450,Weak
